 c_patente |         ini         | fin 
 0554      | 2001-05-22 00:00:00 | 
 0555      | 2001-09-03 00:00:00 | 
 0556      | 2001-05-17 00:00:00 | 
 0557      | 2001-05-16 00:00:00 | 
 0558      | 2001-05-23 00:00:00 | 
 0559      | 2001-05-17 00:00:00 | 
 0562      | 2001-05-21 00:00:00 | 
 0563      | 2001-05-21 00:00:00 | 
 0565      | 2001-05-23 00:00:00 | 
 0566      | 2001-05-21 00:00:00 | 
 0569      | 2001-05-22 00:00:00 | 
 0570      | 2001-08-01 00:00:00 | 
 0571      | 2001-05-14 00:00:00 | 
 0572      | 2001-05-22 00:00:00 | 
 0573      | 2001-06-15 00:00:00 | 
 0574      | 2001-05-21 00:00:00 | 
 0575      | 2001-05-23 00:00:00 | 
 0576      | 2001-05-16 00:00:00 | 
 0578      | 2001-05-14 00:00:00 | 
 0579      | 2001-05-17 00:00:00 | 
 0580      | 2001-05-18 00:00:00 | 
 0581      | 2001-05-14 00:00:00 | 
 0582      | 2001-05-15 00:00:00 | 
 0584      | 2001-05-14 00:00:00 | 
 0586      | 2001-05-21 00:00:00 | 
 0587      | 2001-05-16 00:00:00 | 
 0588      | 2001-05-21 00:00:00 | 
 0589      | 2001-05-18 00:00:00 | 
 0590      | 2001-05-14 00:00:00 | 
 0592      | 2001-05-14 00:00:00 | 
 0595      | 2001-06-12 00:00:00 | 
 0596      | 2001-05-18 00:00:00 | 
 0597      | 2001-05-21 00:00:00 | 
 0598      | 2001-05-18 00:00:00 | 
 0599      | 2001-05-21 00:00:00 | 
 0600      | 2001-05-14 00:00:00 | 
 0601      | 2001-05-16 00:00:00 | 
 0604      | 2001-05-15 00:00:00 | 
 0606      | 2001-06-08 00:00:00 | 
 0607      | 2001-05-21 00:00:00 | 
 0608      | 2001-05-15 00:00:00 | 
 0609      | 2001-05-18 00:00:00 | 
 0610      | 2001-05-16 00:00:00 | 
 0611      | 2001-05-14 00:00:00 | 
 0613      | 2001-05-14 00:00:00 | 
 0614      | 2001-05-16 00:00:00 | 
 0615      | 2001-05-18 00:00:00 | 
 0617      | 2001-06-29 00:00:00 | 
 0619      | 2001-05-17 00:00:00 | 
 0620      | 2001-05-15 00:00:00 | 
 0622      | 2001-06-12 00:00:00 | 
 0624      | 2001-05-15 00:00:00 | 
 0625      | 2001-05-18 00:00:00 | 
 0626      | 2003-04-09 00:00:00 | 
 0627      | 2001-05-17 00:00:00 | 
 0628      | 2001-05-21 00:00:00 | 
 0629      | 2001-06-08 00:00:00 | 
 0630      | 2001-05-14 00:00:00 | 
 0631      | 2001-05-11 00:00:00 | 
 0632      | 2001-05-22 00:00:00 | 
 0633      | 2001-05-18 00:00:00 | 
 0634      | 2001-05-21 00:00:00 | 
 0636      | 2002-10-28 00:00:00 | 
 0637      | 2001-05-18 00:00:00 | 
 0638      | 2001-05-16 00:00:00 | 
 0639      | 2001-05-23 00:00:00 | 
 0640      | 2001-05-21 00:00:00 | 
 0641      | 2001-05-16 00:00:00 | 
 0643      | 2001-05-18 00:00:00 | 
 0644      | 2001-06-21 00:00:00 | 
 0645      | 2001-05-22 00:00:00 | 
 0646      | 2001-05-18 00:00:00 | 
 0647      | 2001-06-15 00:00:00 | 
 0648      | 2001-05-18 00:00:00 | 
 0649      | 2001-05-17 00:00:00 | 
 0651      | 2001-05-17 00:00:00 | 
 0652      | 2001-05-16 00:00:00 | 
 0653      | 2001-05-21 00:00:00 | 
 0654      | 2001-05-21 00:00:00 | 
 0655      | 2001-05-11 00:00:00 | 
 0656      | 2001-05-11 00:00:00 | 
 0657      | 2001-05-18 00:00:00 | 
 0659      | 2001-05-16 00:00:00 | 
 0661      | 2001-05-14 00:00:00 | 
 0662      | 2001-05-17 00:00:00 | 
 0663      | 2001-05-23 00:00:00 | 
 0664      | 2001-05-18 00:00:00 | 
 0665      | 2001-05-14 00:00:00 | 
 0666      | 2001-05-17 00:00:00 | 
 0667      | 2001-05-11 00:00:00 | 
 0668      | 2001-05-17 00:00:00 | 
 0669      | 2001-05-21 00:00:00 | 
 0670      | 2001-05-21 00:00:00 | 
 0671      | 2001-05-18 00:00:00 | 
 0672      | 2001-05-16 00:00:00 | 
 0673      | 2001-05-14 00:00:00 | 
 0674      | 2001-05-17 00:00:00 | 
 0675      | 2001-05-11 00:00:00 | 
 0676      | 2001-05-15 00:00:00 | 
 0677      | 2001-05-21 00:00:00 | 
 0678      | 2001-05-11 00:00:00 | 
 0679      | 2001-05-21 00:00:00 | 
 0680      | 2001-05-14 00:00:00 | 
 0681      | 2001-05-22 00:00:00 | 
 0682      | 2001-05-21 00:00:00 | 
 0683      | 2001-05-16 00:00:00 | 
 0684      | 2001-05-21 00:00:00 | 
 0685      | 2001-05-16 00:00:00 | 
 0686      | 2001-05-17 00:00:00 | 
 0687      | 2001-05-18 00:00:00 | 
 0688      | 2002-06-28 00:00:00 | 
 0689      | 2001-05-17 00:00:00 | 
 0690      | 2001-05-21 00:00:00 | 
 0691      | 2001-05-18 00:00:00 | 
 0692      | 2001-05-21 00:00:00 | 
 0693      | 2001-05-16 00:00:00 | 
 0695      | 2001-05-17 00:00:00 | 
 0696      | 2001-05-17 00:00:00 | 
 0697      | 2001-05-18 00:00:00 | 
 0699      | 2001-05-15 00:00:00 | 
 0700      | 2001-05-14 00:00:00 | 
 0701      | 2001-05-14 00:00:00 | 
 0702      | 2001-05-21 00:00:00 | 
 0705      | 2001-05-21 00:00:00 | 
 0706      | 2001-05-21 00:00:00 | 
 0707      | 2001-05-17 00:00:00 | 
 0708      | 2001-05-16 00:00:00 | 
 0709      | 2001-05-18 00:00:00 | 
 0710      | 2001-05-18 00:00:00 | 
 0711      | 2001-05-14 00:00:00 | 
 0712      | 2001-05-21 00:00:00 | 
 0713      | 2001-05-21 00:00:00 | 
 0714      | 2001-05-08 00:00:00 | 
 0715      | 2001-05-15 00:00:00 | 
 0716      | 2001-05-18 00:00:00 | 
 0717      | 2001-05-22 00:00:00 | 
 0718      | 2001-05-15 00:00:00 | 
 0719      | 2001-05-21 00:00:00 | 
 0720      | 2001-05-21 00:00:00 | 
 0721      | 2001-05-23 00:00:00 | 
 0722      | 2001-05-16 00:00:00 | 
 0723      | 2001-05-15 00:00:00 | 
 0724      | 2001-05-21 00:00:00 | 
 0725      | 2001-05-15 00:00:00 | 
 0726      | 2001-06-14 00:00:00 | 
 0727      | 2001-05-21 00:00:00 | 
 0728      | 2001-05-21 00:00:00 | 
 0729      | 2001-05-23 00:00:00 | 
 0731      | 2001-05-15 00:00:00 | 
 0732      | 2001-05-21 00:00:00 | 
 0733      | 2001-05-22 00:00:00 | 
 0734      | 2001-05-21 00:00:00 | 
 0735      | 2001-05-21 00:00:00 | 
 0736      | 2001-05-18 00:00:00 | 
 0737      | 2001-05-11 00:00:00 | 
 0738      | 2001-05-23 00:00:00 | 
 0739      | 2001-05-11 00:00:00 | 
 0740      | 2001-05-21 00:00:00 | 
 0741      | 2001-05-16 00:00:00 | 
 0742      | 2001-05-18 00:00:00 | 
 0743      | 2001-05-18 00:00:00 | 
 0744      | 2001-05-22 00:00:00 | 
 0745      | 2001-05-18 00:00:00 | 
 0746      | 2001-06-21 00:00:00 | 
 0747      | 2001-05-17 00:00:00 | 
 0748      | 2001-05-21 00:00:00 | 
 0749      | 2001-05-18 00:00:00 | 
 0750      | 2001-05-14 00:00:00 | 
 0751      | 2001-05-15 00:00:00 | 
 0752      | 2001-05-21 00:00:00 | 
 0753      | 2001-05-21 00:00:00 | 
 0754      | 2001-05-17 00:00:00 | 
 0755      | 2001-05-15 00:00:00 | 
 0756      | 2001-05-15 00:00:00 | 
 0757      | 2001-05-15 00:00:00 | 
 0758      | 2001-05-14 00:00:00 | 
 0760      | 2001-05-14 00:00:00 | 
 0761      | 2001-05-16 00:00:00 | 
 0762      | 2001-05-11 00:00:00 | 
 0763      | 2001-05-21 00:00:00 | 
 0764      | 2001-05-14 00:00:00 | 
 0765      | 2001-05-18 00:00:00 | 
 0766      | 2001-05-24 00:00:00 | 
 0767      | 2001-05-23 00:00:00 | 
 0768      | 2001-05-14 00:00:00 | 
 0769      | 2001-05-15 00:00:00 | 
 0770      | 2001-05-21 00:00:00 | 
 0771      | 2001-05-21 00:00:00 | 
 0772      | 2001-05-16 00:00:00 | 
 0773      | 2001-05-17 00:00:00 | 
 0774      | 2001-05-21 00:00:00 | 
 0775      | 2001-09-06 00:00:00 | 
 0776      | 2001-05-18 00:00:00 | 
 0777      | 2001-05-21 00:00:00 | 
 0778      | 2001-05-17 00:00:00 | 
 0779      | 2001-05-21 00:00:00 | 
 0780      | 2001-05-16 00:00:00 | 
 0781      | 2001-05-21 00:00:00 | 
 0782      | 2001-05-23 00:00:00 | 
 0783      | 2001-05-11 00:00:00 | 
 0784      | 2001-05-15 00:00:00 | 
 0785      | 2001-05-16 00:00:00 | 
 0786      | 2001-05-18 00:00:00 | 
 0787      | 2001-05-18 00:00:00 | 
 0788      | 2001-05-18 00:00:00 | 
 0790      | 2001-05-15 00:00:00 | 
 0792      | 2001-05-15 00:00:00 | 
 0794      | 2001-05-22 00:00:00 | 
 0795      | 2001-05-21 00:00:00 | 
 0796      | 2001-05-14 00:00:00 | 
 0797      | 2001-05-17 00:00:00 | 
 0798      | 2001-05-16 00:00:00 | 
 0799      | 2001-05-18 00:00:00 | 
 0800      | 2001-05-21 00:00:00 | 
 0801      | 2001-05-23 00:00:00 | 
 0803      | 2001-05-16 00:00:00 | 
 0804      | 2001-05-17 00:00:00 | 
 0805      | 2002-05-29 00:00:00 | 
 0806      | 2001-05-07 00:00:00 | 
 0807      | 2001-05-14 00:00:00 | 
 0808      | 2001-05-17 00:00:00 | 
 0809      | 2001-05-21 00:00:00 | 
 0810      | 2001-05-18 00:00:00 | 
 0811      | 2001-05-21 00:00:00 | 
 0812      | 2001-05-15 00:00:00 | 
 0813      | 2001-05-21 00:00:00 | 
 0814      | 2001-05-14 00:00:00 | 
 0815      | 2001-05-23 00:00:00 | 
 0816      | 2001-05-23 00:00:00 | 
 0817      | 2001-05-16 00:00:00 | 
 0818      | 2001-05-17 00:00:00 | 
 0819      | 2001-05-15 00:00:00 | 
 0820      | 2001-05-15 00:00:00 | 
 0821      | 2001-05-16 00:00:00 | 
 0822      | 2001-05-14 00:00:00 | 
 0823      | 2001-05-21 00:00:00 | 
 0825      | 2001-05-21 00:00:00 | 
 0828      | 2001-05-14 00:00:00 | 
 0829      | 2001-05-15 00:00:00 | 
 0830      | 2001-05-23 00:00:00 | 
 0831      | 2002-06-10 00:00:00 | 
 0832      | 2001-05-21 00:00:00 | 
 0833      | 2001-05-22 00:00:00 | 
 0834      | 2001-05-14 00:00:00 | 
 0835      | 2001-05-17 00:00:00 | 
 0836      | 2001-05-15 00:00:00 | 
 0837      | 2001-05-21 00:00:00 | 
 0838      | 2001-05-21 00:00:00 | 
 0839      | 2002-09-10 00:00:00 | 
 0840      | 2001-05-17 00:00:00 | 
 0841      | 2001-11-27 00:00:00 | 
 0842      | 2001-05-11 00:00:00 | 
 0843      | 2001-05-23 00:00:00 | 
 0844      | 2001-05-21 00:00:00 | 
 0845      | 2001-05-15 00:00:00 | 
 0846      | 2001-05-15 00:00:00 | 
 0847      | 2001-05-18 00:00:00 | 
 0848      | 2001-05-15 00:00:00 | 
 0849      | 2001-05-23 00:00:00 | 
 0850      | 2001-05-15 00:00:00 | 
 0851      | 2001-05-23 00:00:00 | 
 0852      | 2001-05-22 00:00:00 | 
 0853      | 2001-05-18 00:00:00 | 
 0854      | 2001-05-17 00:00:00 | 
 0855      | 2001-05-15 00:00:00 | 
 0856      | 2001-05-18 00:00:00 | 
 0857      | 2001-05-15 00:00:00 | 
 0858      | 2001-05-21 00:00:00 | 
 0859      | 2001-05-17 00:00:00 | 
 0860      | 2001-05-21 00:00:00 | 
 0862      | 2001-05-15 00:00:00 | 
 0863      | 2001-05-21 00:00:00 | 
 0864      | 2001-05-21 00:00:00 | 
 0867      | 2001-05-23 00:00:00 | 
 0868      | 2001-05-16 00:00:00 | 
 0869      | 2001-05-15 00:00:00 | 
 0870      | 2001-05-18 00:00:00 | 
 0871      | 2001-05-17 00:00:00 | 
 0872      | 2002-06-10 00:00:00 | 
 0873      | 2001-05-22 00:00:00 | 
 0875      | 2001-05-17 00:00:00 | 
 0876      | 2001-05-21 00:00:00 | 
 0877      | 2001-05-16 00:00:00 | 
 0878      | 2001-05-07 00:00:00 | 
 0879      | 2001-05-21 00:00:00 | 
 0880      | 2001-05-11 00:00:00 | 
 0881      | 2001-05-21 00:00:00 | 
 0882      | 2001-05-17 00:00:00 | 
 0883      | 2001-05-17 00:00:00 | 
 0884      | 2001-05-21 00:00:00 | 
 0885      | 2001-05-21 00:00:00 | 
 0886      | 2001-05-22 00:00:00 | 
 0887      | 2001-05-21 00:00:00 | 
 0888      | 2001-05-23 00:00:00 | 
 0889      | 2001-05-18 00:00:00 | 
 0890      | 2001-05-16 00:00:00 | 
 0891      | 2001-05-17 00:00:00 | 
 0892      | 2001-05-21 00:00:00 | 
 0895      | 2001-05-17 00:00:00 | 
 0896      | 2001-05-18 00:00:00 | 
 0897      | 2001-05-14 00:00:00 | 
 0898      | 2001-05-14 00:00:00 | 
 0899      | 2001-05-21 00:00:00 | 
 0900      | 2001-05-16 00:00:00 | 
 0901      | 2001-05-18 00:00:00 | 
 0902      | 2001-05-15 00:00:00 | 
 0903      | 2001-05-18 00:00:00 | 
 0904      | 2001-05-18 00:00:00 | 
 0905      | 2001-05-15 00:00:00 | 
 0906      | 2001-05-23 00:00:00 | 
 0907      | 2001-05-15 00:00:00 | 
 0908      | 2001-05-18 00:00:00 | 
 0909      | 2001-05-16 00:00:00 | 
 0910      | 2001-05-17 00:00:00 | 
 0911      | 2001-05-15 00:00:00 | 
 0912      | 2001-05-18 00:00:00 | 
 0913      | 2001-05-21 00:00:00 | 
 0914      | 2001-05-08 00:00:00 | 
 0915      | 2001-05-07 00:00:00 | 
 0916      | 2001-05-21 00:00:00 | 
 0917      | 2001-05-16 00:00:00 | 
 0918      | 2001-05-23 00:00:00 | 
 0919      | 2001-05-22 00:00:00 | 
 0920      | 2001-05-16 00:00:00 | 
 0921      | 2001-05-16 00:00:00 | 
 0922      | 2001-05-14 00:00:00 | 
 0925      | 2001-05-14 00:00:00 | 
 0926      | 2001-05-21 00:00:00 | 
 0927      | 2001-05-22 00:00:00 | 
 0928      | 2001-05-18 00:00:00 | 
 0929      | 2001-05-22 00:00:00 | 
 0930      | 2001-05-18 00:00:00 | 
 0931      | 2001-05-18 00:00:00 | 
 0932      | 2001-05-17 00:00:00 | 
 0933      | 2001-05-22 00:00:00 | 
 0934      | 2001-05-14 00:00:00 | 
 0935      | 2001-05-14 00:00:00 | 
 0936      | 2001-05-14 00:00:00 | 
 0937      | 2001-05-14 00:00:00 | 
 0938      | 2001-05-17 00:00:00 | 
 0939      | 2001-05-18 00:00:00 | 
 0940      | 2001-05-14 00:00:00 | 
 0941      | 2001-05-14 00:00:00 | 
 0942      | 2001-05-14 00:00:00 | 
 0943      | 2001-05-14 00:00:00 | 
 0944      | 2001-05-16 00:00:00 | 
 0945      | 2001-05-15 00:00:00 | 
 0946      | 2001-05-17 00:00:00 | 
 0947      | 2001-05-16 00:00:00 | 
 0948      | 2001-05-18 00:00:00 | 
 0949      | 2001-05-21 00:00:00 | 
 0950      | 2001-05-17 00:00:00 | 
 0951      | 2001-05-14 00:00:00 | 
 0952      | 2001-05-22 00:00:00 | 
 0953      | 2001-05-21 00:00:00 | 
 0954      | 2001-05-22 00:00:00 | 
 0955      | 2001-05-21 00:00:00 | 
 0956      | 2001-05-21 00:00:00 | 
 0957      | 2001-05-21 00:00:00 | 
 0958      | 2001-05-11 00:00:00 | 
 0959      | 2001-05-16 00:00:00 | 
 0960      | 2001-05-21 00:00:00 | 
 0961      | 2001-05-15 00:00:00 | 
 0962      | 2001-09-03 00:00:00 | 
 0963      | 2001-05-23 00:00:00 | 
 0964      | 2001-05-21 00:00:00 | 
 0965      | 2001-05-21 00:00:00 | 
 0966      | 2001-05-16 00:00:00 | 
 0967      | 2001-05-21 00:00:00 | 
 0968      | 2001-05-21 00:00:00 | 
 0969      | 2001-05-16 00:00:00 | 
 0970      | 2001-05-22 00:00:00 | 
 0971      | 2001-05-21 00:00:00 | 
 0972      | 2001-05-16 00:00:00 | 
 0973      | 2001-05-14 00:00:00 | 
 0974      | 2001-05-23 00:00:00 | 
 0975      | 2001-05-16 00:00:00 | 
 0976      | 2001-05-21 00:00:00 | 
 0977      | 2001-05-15 00:00:00 | 
 0978      | 2001-05-21 00:00:00 | 
 0979      | 2001-05-21 00:00:00 | 
 0980      | 2001-08-23 00:00:00 | 
 0981      | 2001-05-21 00:00:00 | 
 0982      | 2001-05-07 00:00:00 | 
 0983      | 2001-05-22 00:00:00 | 
 0984      | 2001-05-16 00:00:00 | 
 0985      | 2002-08-16 00:00:00 | 
 0986      | 2001-05-14 00:00:00 | 
 0987      | 2001-05-15 00:00:00 | 
 0988      | 2001-05-18 00:00:00 | 
 0989      | 2001-05-21 00:00:00 | 
 0990      | 2001-05-17 00:00:00 | 
 0991      | 2001-05-21 00:00:00 | 
 0992      | 2001-05-16 00:00:00 | 
 0993      | 2001-05-14 00:00:00 | 
 0994      | 2001-05-14 00:00:00 | 
 0995      | 2001-05-15 00:00:00 | 
 0997      | 2001-05-17 00:00:00 | 
 0999      | 2001-05-14 00:00:00 | 
 1000      | 2001-05-14 00:00:00 | 
 1001      | 2001-05-21 00:00:00 | 
 1002      | 2002-05-29 00:00:00 | 
 1003      | 2001-05-15 00:00:00 | 
 1004      | 2001-05-23 00:00:00 | 
 1005      | 2001-05-18 00:00:00 | 
 1006      | 2001-05-16 00:00:00 | 
 1007      | 2001-05-18 00:00:00 | 
 1008      | 2001-05-16 00:00:00 | 
 1009      | 2001-05-14 00:00:00 | 
 1010      | 2001-05-18 00:00:00 | 
 1011      | 2001-05-21 00:00:00 | 
 1012      | 2002-12-09 00:00:00 | 
 1013      | 2001-05-21 00:00:00 | 
 1014      | 2001-05-21 00:00:00 | 
 1015      | 2001-05-18 00:00:00 | 
 1016      | 2001-05-18 00:00:00 | 
 1017      | 2001-05-18 00:00:00 | 
 1018      | 2001-05-15 00:00:00 | 
 1019      | 2001-05-14 00:00:00 | 
 1020      | 2001-05-15 00:00:00 | 
 1021      | 2001-05-22 00:00:00 | 
 1022      | 2001-05-16 00:00:00 | 
 1023      | 2001-05-21 00:00:00 | 
 1024      | 2001-05-21 00:00:00 | 
 1025      | 2001-05-14 00:00:00 | 
 1026      | 2001-05-18 00:00:00 | 
 1027      | 2001-05-11 00:00:00 | 
 1028      | 2001-05-17 00:00:00 | 
 1029      | 2001-05-18 00:00:00 | 
 1030      | 2001-05-18 00:00:00 | 
 1031      | 2001-05-21 00:00:00 | 
 1032      | 2001-05-17 00:00:00 | 
 1033      | 2001-05-18 00:00:00 | 
 1034      | 2001-05-16 00:00:00 | 
 1035      | 2001-05-18 00:00:00 | 
 1036      | 2001-05-11 00:00:00 | 
 1037      | 2001-05-21 00:00:00 | 
 1038      | 2001-05-18 00:00:00 | 
 1039      | 2001-05-17 00:00:00 | 
 1040      | 2001-05-16 00:00:00 | 
 1041      | 2001-05-11 00:00:00 | 
 1042      | 2001-05-21 00:00:00 | 
 1043      | 2001-05-17 00:00:00 | 
 1044      | 2001-05-21 00:00:00 | 
 1045      | 2001-05-17 00:00:00 | 
 1046      | 2001-05-15 00:00:00 | 
 1047      | 2001-05-17 00:00:00 | 
 1048      | 2001-05-15 00:00:00 | 
 1049      | 2001-05-21 00:00:00 | 
 1050      | 2001-05-11 00:00:00 | 
 1051      | 2001-05-18 00:00:00 | 
 1052      | 2001-05-18 00:00:00 | 
 1054      | 2001-05-14 00:00:00 | 
 1055      | 2001-05-17 00:00:00 | 
 1056      | 2001-05-18 00:00:00 | 
 1057      | 2001-05-14 00:00:00 | 
 1058      | 2001-05-21 00:00:00 | 
 1059      | 2001-05-23 00:00:00 | 
 1060      | 2001-05-21 00:00:00 | 
 1061      | 2001-05-22 00:00:00 | 
 1062      | 2001-05-15 00:00:00 | 
 1063      | 2001-05-15 00:00:00 | 
 1064      | 2001-05-16 00:00:00 | 
 1065      | 2001-05-16 00:00:00 | 
 1066      | 2001-05-18 00:00:00 | 
 1067      | 2001-05-17 00:00:00 | 
 1068      | 2001-05-17 00:00:00 | 
 1069      | 2001-05-18 00:00:00 | 
 1070      | 2001-05-18 00:00:00 | 
 1071      | 2001-05-17 00:00:00 | 
 1072      | 2001-05-17 00:00:00 | 
 1073      | 2001-05-17 00:00:00 | 
 1074      | 2001-05-21 00:00:00 | 
 1075      | 2001-05-18 00:00:00 | 
 1076      | 2001-05-17 00:00:00 | 
 1077      | 2001-05-17 00:00:00 | 
 1078      | 2001-05-18 00:00:00 | 
 1079      | 2001-05-17 00:00:00 | 
 1080      | 2001-05-14 00:00:00 | 
 1081      | 2001-05-21 00:00:00 | 
 1082      | 2001-05-17 00:00:00 | 
 1084      | 2001-05-21 00:00:00 | 
 1085      | 2001-05-11 00:00:00 | 
 1086      | 2001-05-17 00:00:00 | 
 1087      | 2001-05-22 00:00:00 | 
 1088      | 2001-05-16 00:00:00 | 
 1089      | 2001-05-21 00:00:00 | 
 1090      | 2002-05-29 00:00:00 | 
 1092      | 2001-05-14 00:00:00 | 
 1094      | 2001-05-17 00:00:00 | 
 1095      | 2001-05-22 00:00:00 | 
 1096      | 2001-05-15 00:00:00 | 
 1097      | 2001-05-21 00:00:00 | 
 1098      | 2001-05-21 00:00:00 | 
 1099      | 2001-05-18 00:00:00 | 
