 c_moneda |                                  descripcion                                  | decimales | pocentaje |       inicio        | fin 
 MGA      | Ariary malgache                                                               | 2         | 5         | 2022-01-01 00:00:00 | 
 MKD      | Denar                                                                         | 2         | 5         | 2022-01-01 00:00:00 | 
 MMK      | Kyat                                                                          | 2         | 5         | 2022-01-01 00:00:00 | 
 MNT      | Tugrik                                                                        | 2         | 5         | 2022-01-01 00:00:00 | 
 MOP      | Pataca                                                                        | 2         | 5         | 2022-01-01 00:00:00 | 
 MRO      | Ouguiya                                                                       | 2         | 5         | 2022-01-01 00:00:00 | 
 MUR      | Rupia de Mauricio                                                             | 2         | 5         | 2022-01-01 00:00:00 | 
 MVR      | Rupia                                                                         | 2         | 5         | 2022-01-01 00:00:00 | 
 MWK      | Kwacha                                                                        | 2         | 5         | 2022-01-01 00:00:00 | 
 MXN      | Peso Mexicano                                                                 | 2         | 5         | 2022-01-01 00:00:00 | 
 MXV      | México Unidad de Inversión (UDI)                                              | 2         | 5         | 2022-01-01 00:00:00 | 
 MYR      | Ringgit malayo                                                                | 2         | 5         | 2022-01-01 00:00:00 | 
 MZN      | Mozambique Metical                                                            | 2         | 5         | 2022-01-01 00:00:00 | 
 NAD      | Dólar de Namibia                                                              | 2         | 5         | 2022-01-01 00:00:00 | 
 NGN      | Naira                                                                         | 2         | 5         | 2022-01-01 00:00:00 | 
 NIC      | Córdoba (Nicaragua)                                                           | 2         | 5         | 2023-05-29 00:00:00 | 
 NIO      | Córdoba Oro                                                                   | 2         | 5         | 2022-01-01 00:00:00 | 
 NOK      | Corona noruega                                                                | 2         | 5         | 2022-01-01 00:00:00 | 
 NPR      | Rupia nepalí                                                                  | 2         | 5         | 2022-01-01 00:00:00 | 
 NZD      | Dólar de Nueva Zelanda                                                        | 2         | 5         | 2022-01-01 00:00:00 | 
 OMR      | Rial omaní                                                                    | 3         | 5         | 2022-01-01 00:00:00 | 
 PAB      | Balboa                                                                        | 2         | 5         | 2022-01-01 00:00:00 | 
 PEN      | Nuevo Sol                                                                     | 2         | 5         | 2022-01-01 00:00:00 | 
 PGK      | Kina                                                                          | 2         | 5         | 2022-01-01 00:00:00 | 
 PHP      | Peso filipino                                                                 | 2         | 5         | 2022-01-01 00:00:00 | 
 PKR      | Rupia de Pakistán                                                             | 2         | 5         | 2022-01-01 00:00:00 | 
 PLN      | Zloty                                                                         | 2         | 5         | 2022-01-01 00:00:00 | 
 PYG      | Guaraní                                                                       | 0         | 5         | 2022-01-01 00:00:00 | 
 QAR      | Qatar Rial                                                                    | 2         | 5         | 2022-01-01 00:00:00 | 
 RON      | Leu rumano                                                                    | 2         | 5         | 2022-01-01 00:00:00 | 
 RSD      | Dinar serbio                                                                  | 2         | 5         | 2022-01-01 00:00:00 | 
 RUB      | Rublo ruso                                                                    | 2         | 5         | 2022-01-01 00:00:00 | 
 RWF      | Franco ruandés                                                                | 0         | 5         | 2022-01-01 00:00:00 | 
 SAR      | Riyal saudí                                                                   | 2         | 5         | 2022-01-01 00:00:00 | 
 SBD      | Dólar de las Islas Salomón                                                    | 2         | 5         | 2022-01-01 00:00:00 | 
 SCR      | Rupia de Seychelles                                                           | 2         | 5         | 2022-01-01 00:00:00 | 
 SDG      | Libra sudanesa                                                                | 2         | 5         | 2022-01-01 00:00:00 | 
 SEK      | Corona sueca                                                                  | 2         | 5         | 2022-01-01 00:00:00 | 
 SGD      | Dólar De Singapur                                                             | 2         | 5         | 2022-01-01 00:00:00 | 
 SHP      | Libra de Santa Helena                                                         | 2         | 5         | 2022-01-01 00:00:00 | 
 SLL      | Leona                                                                         | 2         | 5         | 2022-01-01 00:00:00 | 
 SOS      | Chelín somalí                                                                 | 2         | 5         | 2022-01-01 00:00:00 | 
 SRD      | Dólar de Suriname                                                             | 2         | 5         | 2022-01-01 00:00:00 | 
 SSP      | Libra sudanesa Sur                                                            | 2         | 5         | 2022-01-01 00:00:00 | 
 STD      | Dobra                                                                         | 2         | 5         | 2022-01-01 00:00:00 | 
 SVC      | Colon El Salvador                                                             | 2         | 5         | 2022-01-01 00:00:00 | 
 SYP      | Libra Siria                                                                   | 2         | 5         | 2022-01-01 00:00:00 | 
 SZL      | Lilangeni                                                                     | 2         | 5         | 2022-01-01 00:00:00 | 
 THB      | Baht                                                                          | 2         | 5         | 2022-01-01 00:00:00 | 
 TJS      | Somoni                                                                        | 2         | 5         | 2022-01-01 00:00:00 | 
 TMT      | Turkmenistán nuevo manat                                                      | 2         | 5         | 2022-01-01 00:00:00 | 
 TND      | Dinar tunecino                                                                | 3         | 5         | 2022-01-01 00:00:00 | 
 TOP      | Pa'anga                                                                       | 2         | 5         | 2022-01-01 00:00:00 | 
 TRY      | Lira turca                                                                    | 2         | 5         | 2022-01-01 00:00:00 | 
 TTD      | Dólar de Trinidad y Tobago                                                    | 2         | 5         | 2022-01-01 00:00:00 | 
 TWD      | Nuevo dólar de Taiwán                                                         | 2         | 5         | 2022-01-01 00:00:00 | 
 TZS      | Shilling tanzano                                                              | 2         | 5         | 2022-01-01 00:00:00 | 
 UAH      | Hryvnia                                                                       | 2         | 5         | 2022-01-01 00:00:00 | 
 UGX      | Shilling de Uganda                                                            | 0         | 5         | 2022-01-01 00:00:00 | 
 USD      | Dólar americano                                                               | 2         | 5         | 2022-01-01 00:00:00 | 
 USN      | Dólar estadounidense (día siguiente)                                          | 2         | 5         | 2022-01-01 00:00:00 | 
 UYI      | Peso Uruguay en Unidades Indexadas (URUIURUI)                                 | 0         | 5         | 2022-01-01 00:00:00 | 
 UYP      | Uruguay (Peso)                                                                | 2         | 5         | 2023-05-29 00:00:00 | 
 UYU      | Peso Uruguayo                                                                 | 2         | 5         | 2022-01-01 00:00:00 | 
 UZS      | Uzbekistán Sum                                                                | 2         | 5         | 2022-01-01 00:00:00 | 
 VEF      | Bolívar                                                                       | 2         | 5         | 2022-01-01 00:00:00 | 
 VES      | Bolívar digital  (Venezuela)                                                  | 2         | 5         | 2023-05-29 00:00:00 | 
 VND      | Dong                                                                          | 0         | 5         | 2022-01-01 00:00:00 | 
 VUV      | Vatu                                                                          | 0         | 5         | 2022-01-01 00:00:00 | 
 WST      | Tala                                                                          | 2         | 5         | 2022-01-01 00:00:00 | 
 XAF      | Franco CFA BEAC                                                               | 0         | 5         | 2022-01-01 00:00:00 | 
 XAG      | Plata                                                                         | 0         | 5         | 2022-01-01 00:00:00 | 
 XAU      | Oro                                                                           | 0         | 5         | 2022-01-01 00:00:00 | 
 XBA      | Unidad de Mercados de Bonos Unidad Europea Composite (EURCO)                  | 0         | 5         | 2022-01-01 00:00:00 | 
 XBB      | Unidad Monetaria de Bonos de Mercados Unidad Europea (UEM-6)                  | 0         | 5         | 2022-01-01 00:00:00 | 
 XBC      | Mercados de Bonos Unidad Europea unidad de cuenta a 9 (UCE-9)                 | 0         | 5         | 2022-01-01 00:00:00 | 
 XBD      | Mercados de Bonos Unidad Europea unidad de cuenta a 17 (UCE-17)               | 0         | 5         | 2022-01-01 00:00:00 | 
 XCD      | Dólar del Caribe Oriental                                                     | 2         | 5         | 2022-01-01 00:00:00 | 
 XDR      | DEG (Derechos Especiales de Giro)                                             | 0         | 5         | 2022-01-01 00:00:00 | 
 XOF      | Franco CFA BCEAO                                                              | 0         | 5         | 2022-01-01 00:00:00 | 
 XPD      | Paladio                                                                       | 0         | 5         | 2022-01-01 00:00:00 | 
 XPF      | Franco CFP                                                                    | 0         | 5         | 2022-01-01 00:00:00 | 
 XPT      | Platino                                                                       | 0         | 5         | 2022-01-01 00:00:00 | 
 XSU      | Sucre                                                                         | 0         | 5         | 2022-01-01 00:00:00 | 
 XTS      | Códigos reservados específicamente para propósitos de prueba                  | 0         |           | 2022-01-01 00:00:00 | 
 XUA      | Unidad ADB de Cuenta                                                          | 0         | 5         | 2022-01-01 00:00:00 | 
 XXX      | Los códigos asignados para las transacciones en que intervenga ninguna moneda | 0         |           | 2022-01-01 00:00:00 | 
 YER      | Rial yemení                                                                   | 2         | 5         | 2022-01-01 00:00:00 | 
 ZAR      | Rand                                                                          | 2         | 5         | 2022-01-01 00:00:00 | 
 ZMW      | Kwacha zambiano                                                               | 2         | 5         | 2022-01-01 00:00:00 | 
 ZWL      | Zimbabwe Dólar                                                                | 2         | 5         | 2022-01-01 00:00:00 | 
(183 rows)

